value,name,desc,deleted,new,SISO
0,AMPLITUDE_OTHER,Other,0,0,0
1,AMPLITUDE_AFSK,AFSK (Audio Frequency Shift Keying),0,0,0
2,AMPLITUDE_AM,AM (Amplitude Modulation),0,0,0
3,AMPLITUDE_CW,CW (Continuous Wave Modulation),0,0,0
4,AMPLITUDE_DSB,DSB (Double Sideband),0,0,0
5,AMPLITUDE_ISB,ISB (Independent Sideband),0,0,0
6,AMPLITUDE_LSB,LSB (Single Band Suppressed Carrier~ Lower Sideband Mode),0,0,0
7,AMPLITUDE_SSB_FULL,SSB-Full (Single Sideband Full Carrier),0,0,0
8,AMPLITUDE_SSB_REDUC,SSB-Reduc (Single Band Reduced Carrier),0,0,0
9,AMPLITUDE_USB,USB (Single Band Suppressed Carrier~ Upper Sideband Mode),0,0,0
10,AMPLITUDE_VSB,VSB (Vestigial Sideband),0,0,0
