value,name,desc,deleted,new,SISO
0,IFF_SYS_TYPE_NOT_USED,Not Used,0,0,0
1,IFF_SYS_TYPE_MARK_X_XII_ATCRBS_TRANS,Mark X/XII/ATCRBS Transponder,0,0,0
2,IFF_SYS_TYPE_MARK_X_XII_ATCRBS_INT,Mark X/XII/ATCRBS Interrogator,0,0,0
3,IFF_SYS_TYPE_SOVIET_TRANS,Soviet Transponder,0,0,0
4,IFF_SYS_TYPE_SOVIET_INT,Soviet Interrogator,0,0,0
5,IFF_SYS_TYPE_RRB_TRANS,RRB Transponder,0,0,0
6,IFF_SYS_TYPE_MARK_XIIA_INT,Mark XIIA Interrogator,0,0,0
7,IFF_SYS_TYPE_MODE_5_INT,Mode 5 Interrogator,0,0,0
8,IFF_SYS_TYPE_MODE_S_INT,Mode S Interrogator,0,0,0
9,IFF_SYS_TYPE_MARK_XIIA_TRANS,Mark XIIA Transponder,0,0,0
10,IFF_SYS_TYPE_MODE_5_TRANS,Mode 5 Transponder,0,0,0
11,IFF_SYS_TYPE_MODE_S_TRANS,Mode S Transponder,0,0,0
12,IFF_SYS_TYPE_MARK_XIIA_CIT,Mark XIIA Combined Interrogator/Transponder (CIT),0,0,0
13,IFF_SYS_TYPE_MARK_XII_CIT,Mark XIA Combined Interrogator/Transponder (CIT),0,0,0
14,IFF_SYS_TYPE_TCAS_ACAS_TRANSCEIVER,TCAS/ACAS Transceiver,0,0,0
