value,name,desc,new
0,EM_USARMY_DIV_OTHER,Other,0
1,EM_USARMY_DIV_1ST_CAVALRY,1st Cavalry,0
2,EM_USARMY_DIV_1ST_INF_DIV,1st Inf Div,0
3,EM_USARMY_DIV_3RD_INF_DIV,3rd Inf Div,1
4,EM_USARMY_DIV_4TH_INF_DIV,4th Inf Div,1
5,EM_USARMY_DIV_1ST_ARMOR_DIV,1st Armor Div,1
6,EM_USARMY_DIV_III_DIVRP,III Corp,1
7,EM_USARMY_DIV_V_DIVRPS,V Corps,1
8,EM_USARMY_DIV_101ST_AIRBORNE,101st Airborne,1
9,EM_USARMY_DIV_82ND_AIRBORNE,82nd Airborne,1
10,EM_USARMY_DIV_10TH_INF_DIV,10TH INF DIV,1
11,EM_USARMY_DIV_SETAF,SETAF,1
12,EM_USARMY_DIV_DIVRPS_ASSETS,Corps Assets,1
13,EM_USARMY_DIV_PACOM,PACOM,1
14,EM_USARMY_DIV_1ST_DIV_MARINE,1st Div(Marine),1
15,EM_USARMY_DIV_2ND_DIV_MARINE,2nd Div(Marine),1
16,EM_USARMY_DIV_4TH_DIV_MARINE,4th Div(Marine),1
17,EM_USARMY_DIV_3RD_MAW_MARINE,3rd MAW(Marine),1
18,EM_USARMY_DIV_2ND_MAW_MARINE,2nd MAW(Marine),1
19,EM_USARMY_DIV_TFT_MARINE,TFT(Marine),1
20,EM_USARMY_DIV_MDNG,MDNG,1
21,EM_USARMY_DIV_TRADOC,TRADOC,1
22,EM_USARMY_DIV_TSC,TSC,1
23,EM_USARMY_DIV_UK,UK,1
24,EM_USARMY_DIV_USSARMS,USSARMS,1
25,EM_USARMY_DIV_2ND_INF_DIV,2nd Inf Div,1
26,EM_USARMY_DIV_CIVILIAN,Civilian,1
27,EM_USARMY_DIV_2ND_ACR,2nd ACR,1
28,EM_USARMY_DIV_1ST_FCS_BCT,1st FCS BCT,1
