value,name,desc,bumper,new
0,EM_USARMY_SEC_OTHER,Other,0,0
1,EM_USARMY_SEC_1ST_SECTION,1st Section,1,0
2,EM_USARMY_SEC_2ND_SECTION,2nd Section,2,0
3,EM_USARMY_SEC_3RD_SECTION,3rd Section,3,0
4,EM_USARMY_SEC_4TH_SECTION,4th Section,4,0
5,EM_USARMY_SEC_5TH_SECTION,5th Section,5,0
6,EM_USARMY_SEC_6TH_SECTION,6th Section,6,0
7,EM_USARMY_SEC_7TH_SECTION,7th Section,7,0
8,EM_USARMY_SEC_8TH_SECTION,8th Section,8,0
9,EM_USARMY_SEC_9TH_SECTION,9th Section,9,0
10,EM_USARMY_SEC_10TH_SECTION_A,10th Section (A),A,1
11,EM_USARMY_SEC_11TH_SECTION_B,11th Section (B),B,1
12,EM_USARMY_SEC_12TH_SECTION_C,12th Section (C),C,1
13,EM_USARMY_SEC_13TH_SECTION_D,13th Section (D),D,1
14,EM_USARMY_SEC_14TH_SECTION_E,14th Section (E),E,1
15,EM_USARMY_SEC_15TH_SECTION_F,15th Section (F),F,1
16,EM_USARMY_SEC_16TH_SECTION_G,16th Section (G),G,1
17,EM_USARMY_SEC_17TH_SECTION_H,17th Section (H),H,1
18,EM_USARMY_SEC_18TH_SECTION_I,18th Section (I),I,1
19,EM_USARMY_SEC_19TH_SECTION_J,19th Section (J),J,1
20,EM_USARMY_SEC_20TH_SECTION_K,20th Section (K),K,1
21,EM_USARMY_SEC_21ST_SECTION_L,21st Section (L),L,1
22,EM_USARMY_SEC_22ND_SECTION_M,22nd Section (M),M,1
23,EM_USARMY_SEC_23RD_SECTION_N,23rd Section (N),N,1
24,EM_USARMY_SEC_24TH_SECTION_O,24th Section (O),O,1
25,EM_USARMY_SEC_25TH_SECTION_P,25th Section (P),P,1
26,EM_USARMY_SEC_26TH_SECTION_Q,26th Section (Q),Q,1
27,EM_USARMY_SEC_27TH_SECTION_R,27th Section (R),R,1
28,EM_USARMY_SEC_28TH_SECTION_S,28th Section (S),S,1
29,EM_USARMY_SEC_29TH_SECTION_T,29th Section (T),T,1
30,EM_USARMY_SEC_31ST_SECTION_V,31st Section (V),V,1
31,EM_USARMY_SEC_30TH_SECTION_U,30th Section (U),U,1
32,EM_USARMY_SEC_32ND_SECTION_W,32nd Section (W),W,1
33,EM_USARMY_SEC_TUGS,Tugs,T,1
34,EM_USARMY_SEC_UUGS,Uugs,U,1
35,EM_USARMY_SEC_SUGV,Sugv,S,1
36,EM_USARMY_SEC_UAV,Uav,V,1
63,EM_USARMY_SEC_PRESTOCK,Prestock,0,1
64,EM_USARMY_SEC_RESERVE,Reserve,0,1
