value,name,desc,bumper,new
0,EM_USARMY_SQU_OTHER,Other,0,1
1,EM_USARMY_SQU_1ST_SQUAD,1st Squad,1,1
2,EM_USARMY_SQU_2ND_SQUAD,2nd Squad,2,1
3,EM_USARMY_SQU_3RD_SQUAD,3rd Squad,3,1
4,EM_USARMY_SQU_4TH_SQUAD,4th Squad,4,1
5,EM_USARMY_SQU_5TH_SQUAD,5th Squad,5,1
6,EM_USARMY_SQU_6TH_SQUAD,6th Squad,6,1
7,EM_USARMY_SQU_7TH_SQUAD,7th Squad,7,1
8,EM_USARMY_SQU_8TH_SQUAD,8th Squad,8,1
9,EM_USARMY_SQU_9TH_SQUAD,9th Squad,9,1
10,EM_USARMY_SQU_10TH_SQUAD_A,10th Squad (A),A,1
11,EM_USARMY_SQU_11TH_SQUAD_B,11th Squad (B),B,1
12,EM_USARMY_SQU_12TH_SQUAD_C,12th Squad (C),C,1
13,EM_USARMY_SQU_13TH_SQUAD_D,13th Squad (D),D,1
14,EM_USARMY_SQU_14TH_SQUAD_E,14th Squad (E),E,1
15,EM_USARMY_SQU_15TH_SQUAD_F,15th Squad (F),F,1
16,EM_USARMY_SQU_16TH_SQUAD_G,16th Squad (G),G,1
17,EM_USARMY_SQU_17TH_SQUAD_H,17th Squad (H),H,1
18,EM_USARMY_SQU_18TH_SQUAD_I,18th Squad (I),I,1
19,EM_USARMY_SQU_19TH_SQUAD_J,19th Squad (J),J,1
20,EM_USARMY_SQU_20TH_SQUAD_K,20th Squad (K),K,1
21,EM_USARMY_SQU_21ST_SQUAD_L,21st Squad (L),L,1
22,EM_USARMY_SQU_22ND_SQUAD_M,22nd Squad (M),M,1
23,EM_USARMY_SQU_23RD_SQUAD_N,23rd Squad (N),N,1
24,EM_USARMY_SQU_24TH_SQUAD_O,24th Squad (O),O,1
25,EM_USARMY_SQU_25TH_SQUAD_P,25th Squad (P),P,1
26,EM_USARMY_SQU_26TH_SQUAD_Q,26th Squad (Q),Q,1
27,EM_USARMY_SQU_27TH_SQUAD_R,27th Squad (R),R,1
28,EM_USARMY_SQU_28TH_SQUAD_S,28th Squad (S),S,1
29,EM_USARMY_SQU_29TH_SQUAD_T,29th Squad (T),T,1
30,EM_USARMY_SQU_31ST_SQUAD_V,31st Squad (V),V,1
31,EM_USARMY_SQU_30TH_SQUAD_U,30th Squad (U),U,1
32,EM_USARMY_SQU_FIELD_1,Field 1,1,1
33,EM_USARMY_SQU_FIELD_2,Field 2,2,1
34,EM_USARMY_SQU_FIELD_3,Field 3,3,1
35,EM_USARMY_SQU_FIELD_4,Field 4,4,1
36,EM_USARMY_SQU_FIELD_5,Field 5,5,1
63,EM_USARMY_SQU_PRESTOCK,Prestock,0,1
64,EM_USARMY_SQU_RESERVE,Reserve,0,1
